id,Target
76518,Dropped
76519,Graduate
76520,Enrolled
76521,Enrolled
76522,Dropped
76523,Graduate
76524,Graduate
76525,Graduate
76526,Dropped
76527,Graduate
76528,Graduate
76529,Graduate
76530,Graduate
76531,Enrolled
76532,Dropped
76533,Enrolled
76534,Graduate
76535,Graduate
76536,Enrolled
76537,Graduate
76538,Graduate
76539,Dropped
76540,Enrolled
76541,Enrolled
76542,Dropped
76543,Dropped
76544,Dropped
76545,Graduate
76546,Graduate
76547,Dropped
76548,Graduate
76549,Graduate
76550,Dropped
76551,Dropped
76552,Dropped
76553,Dropped
76554,Dropped
76555,Graduate
76556,Graduate
76557,Graduate
76558,Graduate
76559,Graduate
76560,Graduate
76561,Graduate
76562,Enrolled
76563,Graduate
76564,Dropped
76565,Dropped
76566,Dropped
76567,Graduate
76568,Graduate
76569,Graduate
76570,Dropped
76571,Dropped
76572,Graduate
76573,Dropped
76574,Enrolled
76575,Enrolled
76576,Graduate
76577,Graduate
76578,Dropped
76579,Graduate
76580,Dropped
76581,Graduate
76582,Dropped
76583,Graduate
76584,Dropped
76585,Dropped
76586,Graduate
76587,Dropped
76588,Enrolled
76589,Graduate
76590,Graduate
76591,Graduate
76592,Dropped
76593,Enrolled
76594,Graduate
76595,Graduate
76596,Dropped
76597,Dropped
76598,Dropped
76599,Graduate
76600,Dropped
76601,Dropped
76602,Dropped
76603,Graduate
76604,Graduate
76605,Dropped
76606,Dropped
76607,Dropped
76608,Enrolled
76609,Graduate
76610,Enrolled
76611,Dropped
76612,Graduate
76613,Enrolled
76614,Enrolled
76615,Enrolled
76616,Dropped
76617,Dropped
76618,Dropped
76619,Enrolled
76620,Graduate
76621,Graduate
76622,Graduate
76623,Dropped
76624,Dropped
76625,Enrolled
76626,Dropped
76627,Dropped
76628,Dropped
76629,Dropped
76630,Dropped
76631,Dropped
76632,Graduate
76633,Enrolled
76634,Graduate
76635,Graduate
76636,Graduate
76637,Dropped
76638,Graduate
76639,Dropped
76640,Graduate
76641,Graduate
76642,Graduate
76643,Dropped
76644,Graduate
76645,Dropped
76646,Dropped
76647,Graduate
76648,Dropped
76649,Graduate
76650,Graduate
76651,Dropped
76652,Graduate
76653,Graduate
76654,Graduate
76655,Dropped
76656,Graduate
76657,Graduate
76658,Graduate
76659,Dropped
76660,Graduate
76661,Graduate
76662,Enrolled
76663,Graduate
76664,Graduate
76665,Graduate
76666,Graduate
76667,Graduate
76668,Dropped
76669,Graduate
76670,Enrolled
76671,Enrolled
76672,Graduate
76673,Dropped
76674,Dropped
76675,Dropped
76676,Graduate
76677,Graduate
76678,Enrolled
76679,Graduate
76680,Dropped
76681,Dropped
76682,Dropped
76683,Dropped
76684,Dropped
76685,Graduate
76686,Graduate
76687,Graduate
76688,Graduate
76689,Enrolled
76690,Graduate
76691,Dropped
76692,Dropped
76693,Dropped
76694,Enrolled
76695,Graduate
76696,Enrolled
76697,Dropped
76698,Graduate
76699,Dropped
76700,Graduate
76701,Graduate
76702,Graduate
76703,Dropped
76704,Graduate
76705,Graduate
76706,Dropped
76707,Graduate
76708,Dropped
76709,Dropped
76710,Enrolled
76711,Enrolled
76712,Graduate
76713,Graduate
76714,Dropped
76715,Graduate
76716,Graduate
76717,Dropped
76718,Enrolled
76719,Dropped
76720,Dropped
76721,Dropped
76722,Graduate
76723,Graduate
76724,Graduate
76725,Graduate
76726,Graduate
76727,Enrolled
76728,Dropped
76729,Dropped
76730,Dropped
76731,Dropped
76732,Dropped
76733,Graduate
76734,Graduate
76735,Dropped
76736,Graduate
76737,Enrolled
76738,Dropped
76739,Graduate
76740,Graduate
76741,Graduate
76742,Graduate
76743,Graduate
76744,Dropped
76745,Graduate
76746,Enrolled
76747,Graduate
76748,Graduate
76749,Graduate
76750,Dropped
76751,Graduate
76752,Enrolled
76753,Graduate
76754,Dropped
76755,Enrolled
76756,Dropped
76757,Dropped
76758,Graduate
76759,Dropped
76760,Dropped
76761,Dropped
76762,Dropped
76763,Graduate
76764,Dropped
76765,Graduate
76766,Graduate
76767,Graduate
76768,Graduate
76769,Enrolled
76770,Dropped
76771,Dropped
76772,Dropped
76773,Enrolled
76774,Dropped
76775,Graduate
76776,Graduate
76777,Dropped
76778,Enrolled
76779,Enrolled
76780,Dropped
76781,Dropped
76782,Graduate
76783,Dropped
76784,Dropped
76785,Dropped
76786,Dropped
76787,Graduate
76788,Dropped
76789,Dropped
76790,Graduate
76791,Graduate
76792,Dropped
76793,Graduate
76794,Graduate
76795,Dropped
76796,Graduate
76797,Enrolled
76798,Graduate
76799,Dropped
76800,Graduate
76801,Dropped
76802,Graduate
76803,Graduate
76804,Dropped
76805,Dropped
76806,Graduate
76807,Dropped
76808,Graduate
76809,Enrolled
76810,Dropped
76811,Enrolled
76812,Dropped
76813,Graduate
76814,Graduate
76815,Graduate
76816,Dropped
76817,Graduate
76818,Graduate
76819,Dropped
76820,Graduate
76821,Dropped
76822,Dropped
76823,Enrolled
76824,Dropped
76825,Graduate
76826,Dropped
76827,Graduate
76828,Graduate
